0x8006E534,applied,gpu_helper_8006E534,subsystem,gpu: <-[] ->['efc_buki_ZanzouClose']
0x8006E8AC,applied,get_global_8006E8AC,structural,n=8
0x8006E8CC,applied,gpu_helper_8006E8CC,subsystem,gpu: <-[] ->['gpu_LoadImage']
0x80071C20,applied,get_global_80071C20,structural,n=11
0x80077D74,applied,get_global_80077D74,structural,n=8
0x80078634,applied,get_global_80078634,structural,n=8
0x800788B0,applied,mode_helper_800788B0,subsystem,mode: <-['mode_handler_11_PadInputCheck'] ->[]
0x80078BE0,applied,set_global_80078BE0,structural,n=4
0x80078BF0,applied,get_global_80078BF0,structural,n=4
0x80078C00,applied,bios_helper_80078C00,subsystem,bios: <-[] ->['bios_OutdatedPadInitAndStart']
0x80078C9C,applied,bios_helper_80078C9C,subsystem,bios: <-[] ->['bios_InitPad']
0x80078D38,applied,bios_helper_80078D38,subsystem,bios: <-[] ->['bios_StartPad']
0x80078DA0,applied,bios_helper_80078DA0,subsystem,bios: <-[] ->['EnterCriticalSection']
0x80078EC0,applied,get_field0x4_80078EC0,structural,n=16
0x80078F60,applied,get_global_80078F60,structural,n=5
0x80078FF0,applied,copy_80078FF0,structural,n=14
0x800790A4,applied,stub_800790A4,structural,n=1
0x800791D8,applied,dispsleepmenutex_helper_800791D8,subsystem,dispsleepmenutex: <-['DispSleepMenuTex'] ->[]
0x80079A30,applied,dispsleepmenutex_helper_80079A30,subsystem,"dispsleepmenutex: <-['_CardCheckPulled2', 'DispSleepMenuTex'] ->['bb2_memchr']"
0x8007A318,applied,bios_helper_8007A318,subsystem,bios: <-[] ->['bios__new_card']
0x8007CAB0,applied,get_field0x0_8007CAB0,structural,n=6
0x8007D2CC,applied,copy_8007D2CC,structural,n=10
0x8007D2F4,applied,get_global_8007D2F4,structural,n=5
0x8007E4DC,applied,tanren_helper_8007E4DC,subsystem,tanren: <-['tanren_get_bamboo_anim_info'] ->[]
0x8007E74C,applied,replay_camera_helper_8007E74C,subsystem,replay_camera: <-['replay_camera_rob_back_win_near'] ->[]
0x8007ED6C,applied,tanren_helper_8007ED6C,subsystem,tanren: <-['tanren_get_bamboo_anim_info'] ->[]
0x8007F00C,applied,copy_8007F00C,structural,n=10
0x8007F034,applied,copy_8007F034,structural,n=10
0x8007F05C,applied,copy_8007F05C,structural,n=15
0x8007F098,applied,copy_8007F098,structural,n=9
0x8007F0BC,applied,copy_8007F0BC,structural,n=10
0x8007F0E4,applied,copy_8007F0E4,structural,n=10
0x8007F10C,applied,stub_8007F10C,structural,n=8
0x8007F12C,applied,stub_8007F12C,structural,n=9
0x8007F200,applied,stub_8007F200,structural,n=6
0x8007F21C,applied,copy_8007F21C,structural,n=11
0x8007F2AC,applied,copy_8007F2AC,structural,n=10
0x8008009C,applied,get_global_8008009C,structural,n=4
0x800800AC,applied,get_global_800800AC,structural,n=8
0x80080228,applied,copy_80080228,structural,n=6
0x80080240,applied,copy_80080240,structural,n=6
0x80080828,applied,tsltm2loadimage_helper_80080828,subsystem,"tsltm2loadimage: <-['cpu_side_move_dir_4', 'tslTm2LoadImage'] ->['tslTm2LoadImage_2']"
0x800819C4,applied,tsltm2loadimage_helper_800819C4,subsystem,tsltm2loadimage: <-[] ->['cpu_side_move_dir_4']
0x800863CC,applied,set_global_800863CC,structural,n=4
0x80089214,applied,copy_80089214,structural,n=11
0x80089240,applied,copy_80089240,structural,n=11
0x800892F8,applied,bios_helper_800892F8,subsystem,bios: <-[] ->['bios_DisableEvent']
0x8008AE7C,applied,set_global_8008AE7C,structural,n=13
